Chromosome	Position	Bam_URL	Bai_url
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L002_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L002_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009637_10_S27_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844513	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844513.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844513.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr8	100844597	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R2_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R1_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009471_10_S73_L002_R1_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam.bai
chr8	100844513	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844513.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844513.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R1_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009370_10_S51_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009370_10_S51_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009370_10_S51_L001_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009370_10_S51_L001_R1_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L002_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L002_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009341_10_S46_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009341_10_S46_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009341_10_S46_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009341_10_S46_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L002_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L002_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009575_10_S14_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009575_10_S14_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009575_10_S14_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009575_10_S14_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr12	103293666	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr12_103293735_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr12_103293735_revcomp.sorted.withT.bam.bai
chr2	152381104	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr2_152381104.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr2_152381104.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009462_10_S71_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr12	103293666	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr12_103293735_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr12_103293735_revcomp.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009701_10_S94_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr8	100844513	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844513.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844513.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L002_R2_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009227_10_S32_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844513	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844513.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844513.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
chr8	100844503	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844503.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844664_revcomp.sorted.withT.bam.bai
chr8	100844505	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844505.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844505.sorted.withT.bam.bai
chr8	100844508	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844508.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R2_001/sam_alignments_chr8_100844508.sorted.withT.bam.bai
chr2	152381103	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr2_152381103.sorted.withT.bam.bai
chr8	100844513	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr8_100844513.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr8_100844513.sorted.withT.bam.bai
chr8	100844595	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr8_100844648_revcomp.sorted.withT.bam.bai
chr8	100844500	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam	https://holtj02.u.hpc.mssm.edu/bams/LIMSsubmission_MountSinai_MGTL_NovaSeq_Val/DIL17009511_10_S83_L001_R1_001/sam_alignments_chr8_100844500.sorted.withT.bam.bai
